,ORG,DST,SECTOR_ID,SDD,TOTAL_CORE,ORG_CTRY,DST_CTRY,ORG_REGION,DST_REGION,IN_SCOPE
51002,120,233,152,2015-08-01,65460.0,191,206,174,201,1
51003,128,235,230,2013-06-30,65461.0,126,172,174,201,1
51005,219,235,113,2015-06-02,65462.0,197,172,180,201,1
51008,203,235,231,2012-11-07,65465.0,124,172,149,201,1
51009,235,120,224,2012-10-27,65467.0,172,191,201,174,1
51010,179,235,221,2016-09-23,65468.0,132,172,132,201,1
51012,129,235,200,2012-10-21,65476.0,124,172,149,201,1
51013,235,120,224,2014-03-04,65476.0,172,191,201,174,1
51014,203,235,231,2013-01-01,65477.0,124,172,149,201,1
51016,179,235,221,2015-06-05,65477.0,132,172,132,201,1
51019,203,235,231,2012-07-11,65480.0,124,172,149,201,1
51021,219,235,113,2015-12-22,65481.0,197,172,180,201,1
51022,219,235,113,2011-03-05,65482.0,197,172,180,201,1
51024,235,219,163,2012-09-20,65486.0,172,197,201,180,1
51025,179,235,221,2016-09-21,65487.0,132,172,132,201,1
51027,219,235,113,2010-12-15,65490.0,197,172,180,201,1
51028,233,235,108,2015-02-11,65490.0,206,172,201,201,1
51029,120,233,152,2015-02-11,65490.0,191,206,174,201,1
51031,235,219,163,2013-02-07,65493.0,172,197,201,180,1
51039,203,235,231,2012-12-22,65505.0,124,172,149,201,1
51043,129,235,200,2014-05-14,65519.0,124,172,149,201,1
51044,235,219,163,2015-01-11,65521.0,172,197,201,180,1
51045,235,217,175,2011-05-09,65522.0,172,197,201,180,1
51046,235,219,163,2015-01-29,65523.0,172,197,201,180,1
51047,219,235,113,2011-09-06,65525.0,197,172,180,201,1
51049,179,235,221,2016-07-14,65528.0,132,172,132,201,1
51050,235,219,163,2013-01-10,65529.0,172,197,201,180,1
51051,235,120,224,2015-04-16,65529.0,172,191,201,174,1
51052,161,189,103,2013-02-11,65530.0,126,172,174,201,1
51053,219,235,113,2014-05-13,65536.0,197,172,180,201,1
51054,219,235,113,2016-06-15,65538.0,197,172,180,201,1
51055,203,235,231,2011-12-08,65540.0,124,172,149,201,1
51057,235,120,224,2014-05-28,65542.0,172,191,201,174,1
51059,235,216,112,2012-08-02,65547.0,172,153,201,149,1
51064,129,235,200,2010-04-08,65553.0,124,172,149,201,1
51065,120,235,169,2015-09-30,65555.0,191,172,174,201,1
51066,233,235,108,2015-07-23,65559.0,206,172,201,201,1
51067,120,233,152,2015-07-23,65559.0,191,206,174,201,1
51068,235,120,224,2016-10-27,65563.0,172,191,201,174,1
51071,233,235,108,2015-12-08,65566.0,206,172,201,201,1
51072,120,233,152,2015-12-08,65566.0,191,206,174,201,1
51075,120,235,169,2012-07-11,65571.0,191,172,174,201,1
51078,203,235,231,2012-10-30,65575.0,124,172,149,201,1
51080,179,235,221,2016-08-31,65575.0,132,172,132,201,1
51081,219,235,113,2015-06-19,65576.0,197,172,180,201,1
51082,129,235,200,2014-06-29,65576.0,124,172,149,201,1
51083,203,235,231,2011-01-18,65577.0,124,172,149,201,1
51084,203,235,231,2011-09-22,65578.0,124,172,149,201,1
51085,219,235,113,2014-03-25,65581.0,197,172,180,201,1
51086,203,235,231,2013-12-17,65583.0,124,172,149,201,1
51087,235,219,163,2012-09-12,65585.0,172,197,201,180,1
51088,120,235,169,2016-06-06,65586.0,191,172,174,201,1
51091,219,235,113,2015-01-15,65591.0,197,172,180,201,1
51092,235,120,224,2012-12-13,65599.0,172,191,201,174,1
